"","expr","time","fun_name"
"1","Rcpp",29976,"object2lines"
"2","R",16731,"object2lines"
"3","R",9318,"object2lines"
"4","Rcpp",8426,"object2lines"
"5","R",8446,"object2lines"
"6","Rcpp",8065,"object2lines"
"7","Rcpp",7514,"object2lines"
"8","Rcpp",7414,"object2lines"
"9","Rcpp",7434,"object2lines"
"10","R",8687,"object2lines"
"11","R",8145,"object2lines"
"12","R",8045,"object2lines"
"13","Rcpp",8086,"object2lines"
"14","Rcpp",7554,"object2lines"
"15","Rcpp",7615,"object2lines"
"16","R",8536,"object2lines"
"17","R",8165,"object2lines"
"18","R",8166,"object2lines"
"19","Rcpp",7905,"object2lines"
"20","Rcpp",7825,"object2lines"
"21","R",8406,"object2lines"
"22","R",8155,"object2lines"
"23","Rcpp",7815,"object2lines"
"24","Rcpp",7925,"object2lines"
"25","R",8837,"object2lines"
"26","R",8045,"object2lines"
"27","Rcpp",7925,"object2lines"
"28","R",8496,"object2lines"
"29","R",8235,"object2lines"
"30","Rcpp",7855,"object2lines"
"31","R",8496,"object2lines"
"32","Rcpp",7635,"object2lines"
"33","Rcpp",7584,"object2lines"
"34","Rcpp",7645,"object2lines"
"35","Rcpp",7745,"object2lines"
"36","Rcpp",7754,"object2lines"
"37","Rcpp",7774,"object2lines"
"38","Rcpp",7575,"object2lines"
"39","Rcpp",7574,"object2lines"
"40","R",8797,"object2lines"
"41","Rcpp",7704,"object2lines"
"42","Rcpp",7504,"object2lines"
"43","Rcpp",7725,"object2lines"
"44","R",8616,"object2lines"
"45","R",8496,"object2lines"
"46","Rcpp",7554,"object2lines"
"47","Rcpp",7804,"object2lines"
"48","Rcpp",8717,"object2lines"
"49","Rcpp",7414,"object2lines"
"50","R",9308,"object2lines"
"51","Rcpp",7795,"object2lines"
"52","R",8536,"object2lines"
"53","Rcpp",7815,"object2lines"
"54","R",8576,"object2lines"
"55","R",8276,"object2lines"
"56","Rcpp",7764,"object2lines"
"57","Rcpp",7704,"object2lines"
"58","R",8476,"object2lines"
"59","R",8597,"object2lines"
"60","Rcpp",7664,"object2lines"
"61","R",8466,"object2lines"
"62","R",8406,"object2lines"
"63","Rcpp",8176,"object2lines"
"64","Rcpp",7674,"object2lines"
"65","R",8466,"object2lines"
"66","Rcpp",7905,"object2lines"
"67","Rcpp",7935,"object2lines"
"68","Rcpp",7434,"object2lines"
"69","Rcpp",7775,"object2lines"
"70","Rcpp",7464,"object2lines"
"71","R",9348,"object2lines"
"72","R",8155,"object2lines"
"73","Rcpp",7595,"object2lines"
"74","R",8446,"object2lines"
"75","Rcpp",8225,"object2lines"
"76","R",8546,"object2lines"
"77","R",8275,"object2lines"
"78","Rcpp",7695,"object2lines"
"79","Rcpp",7384,"object2lines"
"80","R",8396,"object2lines"
"81","Rcpp",7745,"object2lines"
"82","R",8526,"object2lines"
"83","R",8336,"object2lines"
"84","R",8256,"object2lines"
"85","Rcpp",7995,"object2lines"
"86","R",13345,"object2lines"
"87","Rcpp",7695,"object2lines"
"88","Rcpp",7424,"object2lines"
"89","Rcpp",7304,"object2lines"
"90","R",8676,"object2lines"
"91","Rcpp",7444,"object2lines"
"92","R",8616,"object2lines"
"93","Rcpp",7434,"object2lines"
"94","R",8546,"object2lines"
"95","R",8096,"object2lines"
"96","R",8075,"object2lines"
"97","R",8115,"object2lines"
"98","R",8025,"object2lines"
"99","R",8115,"object2lines"
"100","Rcpp",8126,"object2lines"
"101","R",8646,"object2lines"
"102","Rcpp",7765,"object2lines"
"103","R",8466,"object2lines"
"104","R",8145,"object2lines"
"105","R",8275,"object2lines"
"106","Rcpp",8186,"object2lines"
"107","Rcpp",7564,"object2lines"
"108","R",8416,"object2lines"
