"","expr","time","fun_name"
"1","R",103985,"dist"
"2","R",47530,"dist"
"3","R",42109,"dist"
"4","R",41758,"dist"
"5","Rcpp",89769,"dist"
"6","R",47990,"dist"
"7","R",42270,"dist"
"8","Rcpp",5871,"dist"
"9","Rcpp",4078,"dist"
"10","R",42409,"dist"
"11","R",41167,"dist"
"12","Rcpp",5260,"dist"
"13","Rcpp",4018,"dist"
"14","Rcpp",3877,"dist"
"15","Rcpp",3938,"dist"
"16","R",42820,"dist"
"17","Rcpp",4678,"dist"
"18","R",42289,"dist"
"19","Rcpp",4959,"dist"
"20","R",42549,"dist"
"21","R",49002,"dist"
"22","R",40967,"dist"
"23","Rcpp",5390,"dist"
"24","R",41488,"dist"
"25","Rcpp",4779,"dist"
"26","Rcpp",4058,"dist"
"27","Rcpp",3948,"dist"
"28","R",42059,"dist"
"29","Rcpp",4609,"dist"
"30","R",41838,"dist"
"31","Rcpp",4850,"dist"
"32","Rcpp",4388,"dist"
"33","Rcpp",4008,"dist"
"34","Rcpp",3937,"dist"
"35","Rcpp",4028,"dist"
"36","Rcpp",3958,"dist"
"37","R",42740,"dist"
"38","Rcpp",4689,"dist"
"39","Rcpp",4058,"dist"
"40","Rcpp",4218,"dist"
"41","Rcpp",4118,"dist"
"42","Rcpp",3857,"dist"
"43","Rcpp",4007,"dist"
"44","Rcpp",3998,"dist"
"45","Rcpp",3978,"dist"
"46","R",42459,"dist"
"47","R",42359,"dist"
"48","Rcpp",5020,"dist"
"49","R",41628,"dist"
"50","R",41097,"dist"
"51","Rcpp",4950,"dist"
"52","R",41718,"dist"
"53","Rcpp",6092,"dist"
"54","R",41829,"dist"
"55","Rcpp",4779,"dist"
"56","Rcpp",4208,"dist"
"57","R",41408,"dist"
"58","R",41678,"dist"
"59","R",40697,"dist"
"60","Rcpp",5290,"dist"
"61","R",41658,"dist"
"62","Rcpp",4809,"dist"
"63","Rcpp",3997,"dist"
"64","R",41258,"dist"
"65","Rcpp",4839,"dist"
"66","Rcpp",4258,"dist"
"67","Rcpp",3878,"dist"
"68","Rcpp",3897,"dist"
"69","Rcpp",3928,"dist"
"70","R",42680,"dist"
"71","Rcpp",4629,"dist"
"72","Rcpp",4148,"dist"
"73","R",41999,"dist"
"74","R",41117,"dist"
"75","Rcpp",12564,"dist"
"76","R",42370,"dist"
"77","Rcpp",4699,"dist"
"78","R",41317,"dist"
"79","Rcpp",4678,"dist"
"80","Rcpp",4368,"dist"
"81","R",41879,"dist"
"82","Rcpp",5079,"dist"
"83","Rcpp",4558,"dist"
"84","Rcpp",4609,"dist"
"85","R",41929,"dist"
"86","R",41478,"dist"
"87","R",40716,"dist"
"88","R",40656,"dist"
"89","R",40927,"dist"
"90","R",40757,"dist"
"91","Rcpp",5801,"dist"
"92","Rcpp",4288,"dist"
"93","Rcpp",4048,"dist"
"94","R",41678,"dist"
"95","R",41388,"dist"
"96","Rcpp",4929,"dist"
"97","Rcpp",4087,"dist"
"98","R",41599,"dist"
"99","R",41057,"dist"
"100","Rcpp",5260,"dist"
"101","R",42580,"dist"
"102","Rcpp",4859,"dist"
"103","Rcpp",4078,"dist"
"104","Rcpp",4870,"dist"
"105","Rcpp",4659,"dist"
"106","Rcpp",4658,"dist"
"107","Rcpp",4528,"dist"
"108","R",44624,"dist"
"109","R",41428,"dist"
"110","Rcpp",5120,"dist"
"111","Rcpp",4338,"dist"
"112","R",41859,"dist"
"113","Rcpp",4799,"dist"
"114","Rcpp",3938,"dist"
"115","R",41778,"dist"
"116","R",41397,"dist"
"117","R",41137,"dist"
"118","R",40566,"dist"
"119","R",49764,"dist"
"120","R",41628,"dist"
"121","Rcpp",5671,"dist"
"122","Rcpp",4438,"dist"
"123","R",42460,"dist"
"124","R",41378,"dist"
"125","R",40656,"dist"
"126","Rcpp",5149,"dist"
"127","R",41258,"dist"
"128","Rcpp",4729,"dist"
"129","Rcpp",4118,"dist"
"130","R",42069,"dist"
"131","R",41017,"dist"
"132","R",41198,"dist"
"133","R",40566,"dist"
"134","Rcpp",5370,"dist"
"135","Rcpp",4299,"dist"
"136","R",41307,"dist"
"137","R",40977,"dist"
"138","R",40616,"dist"
"139","Rcpp",5350,"dist"
"140","R",41198,"dist"
"141","R",40596,"dist"
"142","Rcpp",4969,"dist"
"143","R",41678,"dist"
"144","R",40646,"dist"
"145","Rcpp",4930,"dist"
"146","Rcpp",3998,"dist"
"147","Rcpp",4057,"dist"
"148","Rcpp",4058,"dist"
"149","Rcpp",3808,"dist"
"150","Rcpp",3827,"dist"
"151","R",42550,"dist"
"152","Rcpp",4619,"dist"
"153","Rcpp",4088,"dist"
"154","R",41187,"dist"
"155","R",40837,"dist"
"156","R",40787,"dist"
"157","Rcpp",5079,"dist"
"158","Rcpp",3967,"dist"
"159","Rcpp",3988,"dist"
"160","Rcpp",3987,"dist"
"161","Rcpp",3867,"dist"
"162","R",47629,"dist"
"163","Rcpp",4598,"dist"
"164","R",41989,"dist"
"165","R",40667,"dist"
"166","R",40947,"dist"
"167","R",40606,"dist"
"168","R",40116,"dist"
"169","Rcpp",5510,"dist"
"170","Rcpp",4459,"dist"
"171","Rcpp",4168,"dist"
"172","R",42029,"dist"
"173","Rcpp",4729,"dist"
"174","R",41608,"dist"
"175","Rcpp",4930,"dist"
"176","Rcpp",4178,"dist"
"177","Rcpp",3827,"dist"
"178","Rcpp",3827,"dist"
"179","R",41888,"dist"
"180","R",41097,"dist"
"181","R",40656,"dist"
"182","Rcpp",5440,"dist"
"183","R",41118,"dist"
"184","Rcpp",4799,"dist"
"185","R",40907,"dist"
"186","R",41007,"dist"
"187","Rcpp",4779,"dist"
"188","R",41348,"dist"
"189","Rcpp",4659,"dist"
"190","Rcpp",4108,"dist"
"191","R",41628,"dist"
"192","R",40957,"dist"
"193","Rcpp",4880,"dist"
"194","Rcpp",4117,"dist"
"195","Rcpp",4218,"dist"
"196","Rcpp",3857,"dist"
"197","Rcpp",4148,"dist"
"198","R",41598,"dist"
"199","Rcpp",4820,"dist"
"200","R",41417,"dist"
"201","R",40916,"dist"
"202","R",40876,"dist"
"203","R",40976,"dist"
"204","R",46607,"dist"
"205","Rcpp",5501,"dist"
"206","R",42530,"dist"
"207","Rcpp",4929,"dist"
"208","Rcpp",4258,"dist"
"209","R",41498,"dist"
"210","Rcpp",4628,"dist"
"211","Rcpp",3998,"dist"
"212","Rcpp",3918,"dist"
"213","Rcpp",3857,"dist"
"214","R",42059,"dist"
"215","R",40917,"dist"
"216","Rcpp",5180,"dist"
"217","Rcpp",4048,"dist"
"218","R",40987,"dist"
"219","Rcpp",4529,"dist"
"220","Rcpp",4318,"dist"
"221","Rcpp",3867,"dist"
"222","Rcpp",4007,"dist"
"223","R",42320,"dist"
"224","Rcpp",4919,"dist"
"225","R",41578,"dist"
"226","Rcpp",4608,"dist"
"227","Rcpp",4158,"dist"
"228","R",41398,"dist"
"229","R",41669,"dist"
"230","R",40496,"dist"
"231","R",40907,"dist"
"232","R",40827,"dist"
"233","R",41237,"dist"
"234","R",40226,"dist"
"235","Rcpp",5841,"dist"
"236","R",41157,"dist"
"237","R",41177,"dist"
"238","Rcpp",5070,"dist"
"239","R",41448,"dist"
"240","Rcpp",4538,"dist"
"241","R",41357,"dist"
"242","R",40386,"dist"
"243","R",40276,"dist"
"244","Rcpp",5210,"dist"
"245","R",41237,"dist"
"246","R",47739,"dist"
"247","R",41638,"dist"
"248","Rcpp",5420,"dist"
"249","Rcpp",4108,"dist"
"250","Rcpp",4058,"dist"
"251","Rcpp",4087,"dist"
"252","Rcpp",3877,"dist"
"253","R",42079,"dist"
"254","R",41718,"dist"
"255","Rcpp",4939,"dist"
"256","Rcpp",4108,"dist"
"257","R",41798,"dist"
"258","R",41347,"dist"
"259","Rcpp",4930,"dist"
"260","Rcpp",4498,"dist"
"261","R",41759,"dist"
"262","Rcpp",4799,"dist"
"263","R",41017,"dist"
"264","Rcpp",4799,"dist"
"265","R",41477,"dist"
"266","R",40756,"dist"
"267","R",40707,"dist"
"268","R",40526,"dist"
"269","Rcpp",5611,"dist"
"270","R",41398,"dist"
"271","Rcpp",4709,"dist"
"272","R",41227,"dist"
"273","Rcpp",4699,"dist"
"274","R",41017,"dist"
"275","Rcpp",4679,"dist"
"276","Rcpp",4409,"dist"
"277","Rcpp",4108,"dist"
"278","Rcpp",4088,"dist"
"279","R",41818,"dist"
"280","R",41027,"dist"
"281","R",40355,"dist"
"282","R",40145,"dist"
"283","R",40777,"dist"
"284","R",40626,"dist"
"285","Rcpp",5521,"dist"
"286","R",41137,"dist"
"287","Rcpp",4899,"dist"
"288","Rcpp",4037,"dist"
"289","R",48742,"dist"
"290","Rcpp",4839,"dist"
"291","Rcpp",4108,"dist"
"292","R",42169,"dist"
"293","Rcpp",4860,"dist"
"294","R",41177,"dist"
"295","R",40827,"dist"
"296","Rcpp",5070,"dist"
"297","R",41167,"dist"
"298","R",40867,"dist"
"299","Rcpp",5080,"dist"
"300","R",40766,"dist"
"301","Rcpp",4639,"dist"
"302","R",41438,"dist"
"303","Rcpp",4829,"dist"
"304","R",40706,"dist"
"305","R",41618,"dist"
"306","R",40677,"dist"
"307","R",40756,"dist"
"308","Rcpp",5269,"dist"
"309","Rcpp",4127,"dist"
"310","R",41097,"dist"
"311","Rcpp",4799,"dist"
"312","Rcpp",4459,"dist"
"313","Rcpp",3967,"dist"
"314","Rcpp",3958,"dist"
"315","R",41909,"dist"
"316","Rcpp",4588,"dist"
"317","Rcpp",3917,"dist"
"318","R",41528,"dist"
"319","R",40927,"dist"
"320","Rcpp",4839,"dist"
"321","Rcpp",4037,"dist"
"322","Rcpp",4008,"dist"
"323","R",42370,"dist"
"324","Rcpp",4899,"dist"
"325","Rcpp",4038,"dist"
"326","Rcpp",4208,"dist"
"327","Rcpp",3967,"dist"
"328","Rcpp",3987,"dist"
"329","Rcpp",3898,"dist"
"330","R",42219,"dist"
"331","Rcpp",4919,"dist"
"332","R",41958,"dist"
"333","R",40997,"dist"
"334","Rcpp",4909,"dist"
"335","R",41819,"dist"
"336","Rcpp",9948,"dist"
"337","R",42249,"dist"
"338","R",40747,"dist"
"339","Rcpp",5400,"dist"
"340","Rcpp",4078,"dist"
"341","Rcpp",4118,"dist"
"342","Rcpp",4158,"dist"
"343","Rcpp",3957,"dist"
"344","Rcpp",3897,"dist"
"345","R",42109,"dist"
"346","Rcpp",4609,"dist"
"347","Rcpp",3988,"dist"
"348","R",41949,"dist"
"349","Rcpp",4608,"dist"
"350","Rcpp",4017,"dist"
"351","Rcpp",4008,"dist"
"352","Rcpp",4148,"dist"
"353","Rcpp",4188,"dist"
"354","Rcpp",4288,"dist"
"355","R",42450,"dist"
"356","Rcpp",4519,"dist"
"357","Rcpp",3907,"dist"
"358","Rcpp",4088,"dist"
"359","R",42650,"dist"
"360","R",42209,"dist"
"361","Rcpp",4979,"dist"
"362","R",41629,"dist"
"363","R",41247,"dist"
"364","R",41077,"dist"
"365","Rcpp",5250,"dist"
