"","expr","time","fun_name"
"1","Rcpp",750618,"msumloglike"
"2","Rcpp",501681,"msumloglike"
"3","Rcpp",506690,"msumloglike"
"4","R",161634937,"msumloglike"
"5","Rcpp",644499,"msumloglike"
"6","R",24834384,"msumloglike"
"7","R",4738948,"msumloglike"
"8","Rcpp",620544,"msumloglike"
"9","Rcpp",570439,"msumloglike"
"10","R",4744267,"msumloglike"
"11","Rcpp",592702,"msumloglike"
"12","Rcpp",549511,"msumloglike"
"13","R",4773753,"msumloglike"
"14","R",4751882,"msumloglike"
"15","R",4583436,"msumloglike"
"16","Rcpp",589265,"msumloglike"
"17","Rcpp",537758,"msumloglike"
"18","R",4627698,"msumloglike"
"19","R",4595589,"msumloglike"
"20","Rcpp",576000,"msumloglike"
"21","R",4825028,"msumloglike"
"22","R",4729710,"msumloglike"
"23","Rcpp",572303,"msumloglike"
"24","Rcpp",538790,"msumloglike"
"25","Rcpp",532498,"msumloglike"
"26","Rcpp",532048,"msumloglike"
"27","Rcpp",529143,"msumloglike"
"28","R",9491841,"msumloglike"
"29","Rcpp",632265,"msumloglike"
"30","R",4797717,"msumloglike"
"31","Rcpp",603803,"msumloglike"
"32","Rcpp",554380,"msumloglike"
"33","Rcpp",547347,"msumloglike"
"34","Rcpp",543450,"msumloglike"
"35","Rcpp",555592,"msumloglike"
"36","Rcpp",532279,"msumloglike"
"37","Rcpp",537388,"msumloglike"
"38","R",4724701,"msumloglike"
"39","Rcpp",562364,"msumloglike"
"40","Rcpp",564168,"msumloglike"
"41","Rcpp",528692,"msumloglike"
"42","Rcpp",528431,"msumloglike"
"43","R",4650241,"msumloglike"
"44","Rcpp",587652,"msumloglike"
"45","Rcpp",554260,"msumloglike"
"46","R",4651153,"msumloglike"
"47","R",4620976,"msumloglike"
"48","R",4475954,"msumloglike"
"49","R",4749317,"msumloglike"
"50","R",4598654,"msumloglike"
"51","Rcpp",592121,"msumloglike"
"52","R",4719952,"msumloglike"
"53","Rcpp",584887,"msumloglike"
"54","Rcpp",529403,"msumloglike"
"55","R",4742384,"msumloglike"
"56","Rcpp",596499,"msumloglike"
"57","Rcpp",534733,"msumloglike"
"58","R",4676530,"msumloglike"
"59","Rcpp",605465,"msumloglike"
"60","Rcpp",549430,"msumloglike"
"61","Rcpp",558999,"msumloglike"
"62","Rcpp",609063,"msumloglike"
"63","Rcpp",561313,"msumloglike"
"64","R",4768012,"msumloglike"
"65","R",4662564,"msumloglike"
"66","R",4822414,"msumloglike"
"67","R",4705775,"msumloglike"
"68","R",4767831,"msumloglike"
"69","R",4832483,"msumloglike"
"70","R",4763954,"msumloglike"
"71","R",4758795,"msumloglike"
"72","R",4658226,"msumloglike"
"73","R",4686850,"msumloglike"
"74","Rcpp",609723,"msumloglike"
"75","R",4715534,"msumloglike"
"76","Rcpp",590277,"msumloglike"
"77","Rcpp",568236,"msumloglike"
"78","Rcpp",546074,"msumloglike"
"79","Rcpp",565180,"msumloglike"
"80","Rcpp",553769,"msumloglike"
"81","R",4778522,"msumloglike"
"82","Rcpp",595737,"msumloglike"
"83","Rcpp",551655,"msumloglike"
"84","R",4847651,"msumloglike"
"85","R",4732405,"msumloglike"
"86","Rcpp",586821,"msumloglike"
"87","Rcpp",579267,"msumloglike"
"88","Rcpp",560371,"msumloglike"
"89","R",4749226,"msumloglike"
"90","R",10305857,"msumloglike"
"91","Rcpp",589055,"msumloglike"
"92","R",4640973,"msumloglike"
"93","Rcpp",580739,"msumloglike"
"94","Rcpp",558617,"msumloglike"
"95","R",4707087,"msumloglike"
"96","Rcpp",585037,"msumloglike"
"97","R",4627849,"msumloglike"
"98","R",4722065,"msumloglike"
"99","R",4717778,"msumloglike"
"100","Rcpp",581601,"msumloglike"
"101","Rcpp",516649,"msumloglike"
"102","Rcpp",531096,"msumloglike"
"103","Rcpp",522150,"msumloglike"
"104","Rcpp",530224,"msumloglike"
"105","Rcpp",530725,"msumloglike"
"106","R",4664077,"msumloglike"
"107","R",4660289,"msumloglike"
"108","R",4624693,"msumloglike"
"109","Rcpp",589786,"msumloglike"
"110","R",4546636,"msumloglike"
"111","R",4668465,"msumloglike"
"112","R",4702910,"msumloglike"
"113","R",4697118,"msumloglike"
"114","R",4628470,"msumloglike"
"115","Rcpp",582853,"msumloglike"
"116","R",4584377,"msumloglike"
"117","Rcpp",618330,"msumloglike"
"118","Rcpp",586320,"msumloglike"
"119","Rcpp",533621,"msumloglike"
"120","Rcpp",544311,"msumloglike"
"121","R",4754828,"msumloglike"
"122","Rcpp",601479,"msumloglike"
"123","R",4677322,"msumloglike"
"124","Rcpp",582152,"msumloglike"
"125","R",4708721,"msumloglike"
"126","R",4620004,"msumloglike"
"127","Rcpp",589636,"msumloglike"
"128","Rcpp",527009,"msumloglike"
"129","R",4534664,"msumloglike"
"130","R",4588475,"msumloglike"
"131","Rcpp",583976,"msumloglike"
"132","Rcpp",564028,"msumloglike"
"133","R",4657455,"msumloglike"
"134","Rcpp",550783,"msumloglike"
"135","R",4650792,"msumloglike"
"136","R",4652134,"msumloglike"
"137","R",4577615,"msumloglike"
"138","Rcpp",579868,"msumloglike"
"139","R",4544993,"msumloglike"
"140","R",4657385,"msumloglike"
"141","R",9824405,"msumloglike"
"142","Rcpp",647084,"msumloglike"
"143","R",4565241,"msumloglike"
"144","Rcpp",585668,"msumloglike"
"145","R",4421582,"msumloglike"
"146","Rcpp",576241,"msumloglike"
"147","Rcpp",544792,"msumloglike"
"148","Rcpp",525726,"msumloglike"
"149","R",4533893,"msumloglike"
"150","Rcpp",559870,"msumloglike"
"151","Rcpp",544962,"msumloglike"
"152","R",4564350,"msumloglike"
"153","R",4616387,"msumloglike"
"154","R",4463601,"msumloglike"
"155","R",4524014,"msumloglike"
"156","Rcpp",557806,"msumloglike"
"157","R",4323628,"msumloglike"
"158","Rcpp",577282,"msumloglike"
"159","R",4381287,"msumloglike"
"160","Rcpp",561744,"msumloglike"
"161","Rcpp",525496,"msumloglike"
"162","R",4379083,"msumloglike"
"163","R",4544132,"msumloglike"
"164","R",4561144,"msumloglike"
"165","Rcpp",579397,"msumloglike"
"166","R",4470524,"msumloglike"
"167","R",4405512,"msumloglike"
"168","Rcpp",576011,"msumloglike"
"169","Rcpp",547267,"msumloglike"
"170","R",4542689,"msumloglike"
"171","R",4430259,"msumloglike"
"172","R",4466827,"msumloglike"
"173","Rcpp",529653,"msumloglike"
"174","Rcpp",510778,"msumloglike"
"175","R",4524646,"msumloglike"
"176","Rcpp",570410,"msumloglike"
"177","Rcpp",514705,"msumloglike"
"178","Rcpp",500920,"msumloglike"
"179","R",4382779,"msumloglike"
"180","Rcpp",559739,"msumloglike"
"181","R",4439846,"msumloglike"
"182","R",4325021,"msumloglike"
"183","Rcpp",551083,"msumloglike"
"184","R",4298701,"msumloglike"
"185","Rcpp",562425,"msumloglike"
"186","R",4317638,"msumloglike"
"187","Rcpp",556905,"msumloglike"
"188","Rcpp",510678,"msumloglike"
"189","R",4307188,"msumloglike"
"190","Rcpp",554319,"msumloglike"
"191","Rcpp",516870,"msumloglike"
"192","Rcpp",488667,"msumloglike"
"193","Rcpp",494768,"msumloglike"
"194","Rcpp",492374,"msumloglike"
"195","R",4201890,"msumloglike"
"196","Rcpp",544361,"msumloglike"
"197","Rcpp",496020,"msumloglike"
"198","R",4364225,"msumloglike"
"199","R",9776284,"msumloglike"
"200","Rcpp",538399,"msumloglike"
"201","Rcpp",499146,"msumloglike"
"202","R",4440137,"msumloglike"
"203","Rcpp",552627,"msumloglike"
"204","R",4313470,"msumloglike"
"205","Rcpp",537989,"msumloglike"
"206","Rcpp",501731,"msumloglike"
"207","R",4387979,"msumloglike"
"208","Rcpp",531156,"msumloglike"
"209","R",4387088,"msumloglike"
"210","Rcpp",544672,"msumloglike"
"211","R",4311847,"msumloglike"
"212","R",4339408,"msumloglike"
"213","Rcpp",545783,"msumloglike"
"214","Rcpp",490370,"msumloglike"
"215","Rcpp",484479,"msumloglike"
"216","Rcpp",477856,"msumloglike"
"217","Rcpp",488355,"msumloglike"
"218","R",4176122,"msumloglike"
"219","R",4207731,"msumloglike"
"220","R",4357672,"msumloglike"
"221","Rcpp",508955,"msumloglike"
"222","R",4255902,"msumloglike"
"223","R",4076546,"msumloglike"
"224","R",4229432,"msumloglike"
"225","R",4239971,"msumloglike"
"226","Rcpp",550232,"msumloglike"
"227","Rcpp",516879,"msumloglike"
"228","R",4123564,"msumloglike"
"229","Rcpp",524263,"msumloglike"
"230","Rcpp",476854,"msumloglike"
"231","Rcpp",475001,"msumloglike"
"232","Rcpp",473818,"msumloglike"
"233","R",4098476,"msumloglike"
"234","R",4091624,"msumloglike"
"235","R",4274406,"msumloglike"
"236","Rcpp",531077,"msumloglike"
"237","Rcpp",473157,"msumloglike"
"238","Rcpp",462768,"msumloglike"
"239","R",4201600,"msumloglike"
"240","Rcpp",533531,"msumloglike"
"241","Rcpp",469230,"msumloglike"
"242","Rcpp",474409,"msumloglike"
"243","Rcpp",476524,"msumloglike"
"244","R",4188315,"msumloglike"
"245","R",4168288,"msumloglike"
"246","Rcpp",534222,"msumloglike"
"247","Rcpp",482254,"msumloglike"
"248","R",4119356,"msumloglike"
"249","R",4065705,"msumloglike"
"250","R",4041439,"msumloglike"
"251","R",4060836,"msumloglike"
"252","R",4052981,"msumloglike"
"253","R",4231465,"msumloglike"
"254","Rcpp",510447,"msumloglike"
"255","R",9386313,"msumloglike"
"256","R",4124746,"msumloglike"
"257","R",4037511,"msumloglike"
"258","R",4065585,"msumloglike"
"259","Rcpp",506290,"msumloglike"
"260","Rcpp",448672,"msumloglike"
"261","Rcpp",480011,"msumloglike"
"262","Rcpp",464211,"msumloglike"
"263","Rcpp",475953,"msumloglike"
"264","Rcpp",475371,"msumloglike"
"265","R",4070423,"msumloglike"
"266","Rcpp",489698,"msumloglike"
"267","Rcpp",465724,"msumloglike"
"268","Rcpp",460273,"msumloglike"
"269","R",4031651,"msumloglike"
"270","R",4046259,"msumloglike"
"271","R",3993840,"msumloglike"
"272","R",4053482,"msumloglike"
"273","R",3991797,"msumloglike"
"274","R",4038484,"msumloglike"
"275","R",3851623,"msumloglike"
"276","Rcpp",498045,"msumloglike"
"277","R",3963022,"msumloglike"
"278","Rcpp",499847,"msumloglike"
"279","Rcpp",452578,"msumloglike"
"280","R",3925161,"msumloglike"
"281","R",4009239,"msumloglike"
"282","Rcpp",510748,"msumloglike"
"283","R",3966048,"msumloglike"
"284","Rcpp",484038,"msumloglike"
"285","Rcpp",459743,"msumloglike"
"286","Rcpp",470733,"msumloglike"
"287","Rcpp",445626,"msumloglike"
"288","Rcpp",435587,"msumloglike"
"289","Rcpp",442080,"msumloglike"
"290","Rcpp",440165,"msumloglike"
"291","Rcpp",453370,"msumloglike"
"292","Rcpp",460263,"msumloglike"
"293","R",3826927,"msumloglike"
"294","R",3910945,"msumloglike"
"295","Rcpp",486713,"msumloglike"
"296","R",3974093,"msumloglike"
"297","R",3990684,"msumloglike"
"298","R",3948094,"msumloglike"
"299","R",3838909,"msumloglike"
"300","Rcpp",494828,"msumloglike"
"301","R",3885757,"msumloglike"
"302","R",3921925,"msumloglike"
"303","Rcpp",471394,"msumloglike"
"304","Rcpp",413446,"msumloglike"
"305","R",3911005,"msumloglike"
"306","Rcpp",468779,"msumloglike"
"307","Rcpp",432411,"msumloglike"
"308","Rcpp",420249,"msumloglike"
"309","Rcpp",428654,"msumloglike"
"310","Rcpp",426089,"msumloglike"
"311","Rcpp",424686,"msumloglike"
"312","Rcpp",439555,"msumloglike"
"313","R",10360881,"msumloglike"
"314","Rcpp",505589,"msumloglike"
"315","Rcpp",436860,"msumloglike"
"316","R",9120244,"msumloglike"
"317","Rcpp",533971,"msumloglike"
"318","Rcpp",440375,"msumloglike"
"319","R",3768207,"msumloglike"
"320","R",3859989,"msumloglike"
"321","Rcpp",472857,"msumloglike"
"322","Rcpp",453350,"msumloglike"
"323","R",3870599,"msumloglike"
"324","Rcpp",475271,"msumloglike"
"325","Rcpp",457267,"msumloglike"
"326","R",3812139,"msumloglike"
"327","Rcpp",458591,"msumloglike"
"328","R",3821166,"msumloglike"
"329","R",3887380,"msumloglike"
"330","R",3846744,"msumloglike"
"331","Rcpp",480511,"msumloglike"
"332","Rcpp",422322,"msumloglike"
"333","R",3797321,"msumloglike"
"334","R",3739523,"msumloglike"
"335","R",3661106,"msumloglike"
"336","R",3682616,"msumloglike"
"337","R",3689269,"msumloglike"
"338","Rcpp",474340,"msumloglike"
"339","R",3728683,"msumloglike"
"340","R",3717541,"msumloglike"
"341","R",3675663,"msumloglike"
"342","Rcpp",482425,"msumloglike"
"343","Rcpp",429035,"msumloglike"
"344","Rcpp",445536,"msumloglike"
"345","R",3896197,"msumloglike"
"346","Rcpp",485630,"msumloglike"
"347","Rcpp",429626,"msumloglike"
"348","R",3851042,"msumloglike"
"349","Rcpp",462247,"msumloglike"
"350","Rcpp",410851,"msumloglike"
"351","R",3681194,"msumloglike"
"352","R",3688528,"msumloglike"
"353","R",3689950,"msumloglike"
"354","Rcpp",455695,"msumloglike"
"355","Rcpp",407665,"msumloglike"
"356","R",3540630,"msumloglike"
"357","Rcpp",422212,"msumloglike"
"358","R",3767405,"msumloglike"
"359","R",3522366,"msumloglike"
"360","R",3660295,"msumloglike"
"361","Rcpp",446478,"msumloglike"
"362","R",3679380,"msumloglike"
"363","Rcpp",456617,"msumloglike"
"364","R",3611022,"msumloglike"
"365","R",3735615,"msumloglike"
"366","R",8637889,"msumloglike"
"367","R",3760753,"msumloglike"
"368","R",3557171,"msumloglike"
"369","Rcpp",477305,"msumloglike"
"370","R",3544488,"msumloglike"
"371","R",3544758,"msumloglike"
"372","R",3636289,"msumloglike"
"373","R",3444460,"msumloglike"
"374","Rcpp",448271,"msumloglike"
"375","Rcpp",394310,"msumloglike"
"376","Rcpp",388539,"msumloglike"
"377","R",3462594,"msumloglike"
"378","R",3504884,"msumloglike"
"379","R",3551000,"msumloglike"
"380","Rcpp",436669,"msumloglike"
"381","R",3529389,"msumloglike"
"382","R",3490055,"msumloglike"
"383","R",3484755,"msumloglike"
"384","R",3512437,"msumloglike"
"385","Rcpp",440356,"msumloglike"
"386","R",3424442,"msumloglike"
"387","R",3441604,"msumloglike"
"388","Rcpp",405100,"msumloglike"
"389","R",3533637,"msumloglike"
"390","Rcpp",429485,"msumloglike"
"391","R",3620249,"msumloglike"
"392","R",3551620,"msumloglike"
"393","Rcpp",444824,"msumloglike"
"394","Rcpp",403127,"msumloglike"
"395","R",3510854,"msumloglike"
"396","Rcpp",424195,"msumloglike"
"397","R",3514431,"msumloglike"
"398","Rcpp",431028,"msumloglike"
"399","R",3498811,"msumloglike"
"400","R",3420154,"msumloglike"
"401","R",3416137,"msumloglike"
"402","R",3435453,"msumloglike"
"403","R",3356475,"msumloglike"
"404","R",3525472,"msumloglike"
"405","Rcpp",430358,"msumloglike"
"406","Rcpp",374252,"msumloglike"
"407","R",3484615,"msumloglike"
"408","R",3469296,"msumloglike"
"409","Rcpp",429316,"msumloglike"
"410","Rcpp",379422,"msumloglike"
"411","Rcpp",378049,"msumloglike"
"412","R",8173008,"msumloglike"
"413","Rcpp",406562,"msumloglike"
"414","R",3346185,"msumloglike"
"415","Rcpp",426019,"msumloglike"
"416","R",3416848,"msumloglike"
"417","Rcpp",399189,"msumloglike"
"418","R",3382885,"msumloglike"
"419","Rcpp",409098,"msumloglike"
"420","R",3340835,"msumloglike"
"421","R",3378436,"msumloglike"
"422","R",3385920,"msumloglike"
"423","Rcpp",419747,"msumloglike"
"424","R",3438910,"msumloglike"
"425","R",3503741,"msumloglike"
"426","R",3414223,"msumloglike"
"427","Rcpp",419867,"msumloglike"
"428","R",3439440,"msumloglike"
"429","R",3311541,"msumloglike"
"430","Rcpp",400662,"msumloglike"
"431","R",3266326,"msumloglike"
"432","R",3443218,"msumloglike"
"433","R",3316199,"msumloglike"
"434","Rcpp",420599,"msumloglike"
"435","Rcpp",365626,"msumloglike"
"436","Rcpp",369183,"msumloglike"
"437","Rcpp",365656,"msumloglike"
"438","Rcpp",367960,"msumloglike"
"439","Rcpp",374522,"msumloglike"
"440","R",3315669,"msumloglike"
"441","R",3436004,"msumloglike"
"442","R",3394486,"msumloglike"
"443","R",3424462,"msumloglike"
"444","Rcpp",404158,"msumloglike"
"445","Rcpp",353683,"msumloglike"
"446","R",3396129,"msumloglike"
"447","Rcpp",400371,"msumloglike"
"448","R",3290901,"msumloglike"
"449","R",3340715,"msumloglike"
"450","R",3163834,"msumloglike"
"451","R",3331387,"msumloglike"
"452","R",3274130,"msumloglike"
"453","Rcpp",404209,"msumloglike"
"454","Rcpp",362379,"msumloglike"
"455","Rcpp",376616,"msumloglike"
"456","Rcpp",365856,"msumloglike"
"457","Rcpp",360636,"msumloglike"
"458","Rcpp",354756,"msumloglike"
"459","Rcpp",351029,"msumloglike"
"460","R",3327961,"msumloglike"
"461","Rcpp",400541,"msumloglike"
"462","Rcpp",358973,"msumloglike"
"463","R",3473143,"msumloglike"
"464","R",8202442,"msumloglike"
"465","R",3234816,"msumloglike"
"466","R",3316890,"msumloglike"
"467","R",3273309,"msumloglike"
"468","R",3191155,"msumloglike"
"469","Rcpp",404799,"msumloglike"
"470","Rcpp",396994,"msumloglike"
"471","R",3250456,"msumloglike"
"472","R",3194371,"msumloglike"
"473","R",3210942,"msumloglike"
"474","Rcpp",363562,"msumloglike"
"475","R",3082450,"msumloglike"
"476","Rcpp",378209,"msumloglike"
"477","R",3122807,"msumloglike"
"478","Rcpp",385554,"msumloglike"
"479","Rcpp",337984,"msumloglike"
"480","R",3140780,"msumloglike"
"481","R",3159104,"msumloglike"
"482","R",3276735,"msumloglike"
"483","Rcpp",399049,"msumloglike"
"484","R",3109452,"msumloglike"
"485","Rcpp",397155,"msumloglike"
"486","Rcpp",354525,"msumloglike"
"487","Rcpp",341731,"msumloglike"
"488","Rcpp",378420,"msumloglike"
"489","R",3151371,"msumloglike"
"490","R",3218586,"msumloglike"
"491","R",3286984,"msumloglike"
"492","R",3315718,"msumloglike"
"493","Rcpp",393048,"msumloglike"
"494","R",3155287,"msumloglike"
"495","R",3225659,"msumloglike"
"496","Rcpp",378800,"msumloglike"
"497","Rcpp",333145,"msumloglike"
"498","Rcpp",342433,"msumloglike"
"499","Rcpp",340138,"msumloglike"
"500","R",3245768,"msumloglike"
"501","R",3189852,"msumloglike"
"502","Rcpp",389200,"msumloglike"
"503","Rcpp",337583,"msumloglike"
"504","R",3165537,"msumloglike"
"505","R",3078734,"msumloglike"
"506","Rcpp",386274,"msumloglike"
"507","R",3110804,"msumloglike"
"508","R",3240016,"msumloglike"
"509","Rcpp",368170,"msumloglike"
"510","R",3095295,"msumloglike"
"511","R",3276024,"msumloglike"
"512","R",7759482,"msumloglike"
"513","Rcpp",366667,"msumloglike"
"514","Rcpp",321603,"msumloglike"
"515","R",3089104,"msumloglike"
"516","Rcpp",377989,"msumloglike"
"517","Rcpp",346951,"msumloglike"
"518","Rcpp",347682,"msumloglike"
"519","Rcpp",328676,"msumloglike"
"520","Rcpp",325581,"msumloglike"
"521","Rcpp",352071,"msumloglike"
"522","R",3150168,"msumloglike"
"523","R",3007751,"msumloglike"
"524","Rcpp",371356,"msumloglike"
"525","R",3149777,"msumloglike"
"526","R",3143265,"msumloglike"
"527","R",3050641,"msumloglike"
"528","Rcpp",395271,"msumloglike"
"529","Rcpp",351750,"msumloglike"
"530","R",3071300,"msumloglike"
"531","Rcpp",390061,"msumloglike"
"532","Rcpp",348884,"msumloglike"
"533","R",3099062,"msumloglike"
"534","Rcpp",355967,"msumloglike"
"535","Rcpp",319829,"msumloglike"
"536","Rcpp",325761,"msumloglike"
"537","Rcpp",316744,"msumloglike"
"538","Rcpp",328416,"msumloglike"
"539","Rcpp",322865,"msumloglike"
"540","R",2891122,"msumloglike"
"541","Rcpp",395632,"msumloglike"
"542","R",3001239,"msumloglike"
"543","R",3179002,"msumloglike"
"544","R",3108028,"msumloglike"
"545","R",3096156,"msumloglike"
"546","Rcpp",377979,"msumloglike"
"547","Rcpp",330250,"msumloglike"
"548","Rcpp",320311,"msumloglike"
"549","R",2978716,"msumloglike"
"550","Rcpp",344336,"msumloglike"
"551","Rcpp",318046,"msumloglike"
"552","Rcpp",320682,"msumloglike"
"553","Rcpp",317636,"msumloglike"
"554","R",3162090,"msumloglike"
"555","R",2962345,"msumloglike"
"556","R",3216572,"msumloglike"
"557","Rcpp",351529,"msumloglike"
"558","R",3038368,"msumloglike"
"559","R",3089985,"msumloglike"
"560","Rcpp",336050,"msumloglike"
"561","R",2995518,"msumloglike"
"562","Rcpp",367890,"msumloglike"
"563","R",2955223,"msumloglike"
"564","R",3075217,"msumloglike"
"565","R",3120452,"msumloglike"
"566","Rcpp",377518,"msumloglike"
"567","Rcpp",325491,"msumloglike"
"568","R",3033529,"msumloglike"
"569","R",2990658,"msumloglike"
"570","R",3125141,"msumloglike"
"571","Rcpp",10684537,"msumloglike"
"572","Rcpp",476524,"msumloglike"
"573","R",3553104,"msumloglike"
"574","Rcpp",347622,"msumloglike"
"575","Rcpp",358082,"msumloglike"
"576","Rcpp",355016,"msumloglike"
"577","R",2963859,"msumloglike"
"578","R",3030924,"msumloglike"
"579","Rcpp",359164,"msumloglike"
"580","Rcpp",337603,"msumloglike"
"581","R",2945554,"msumloglike"
"582","Rcpp",386124,"msumloglike"
"583","R",3040522,"msumloglike"
"584","R",2979668,"msumloglike"
"585","Rcpp",375975,"msumloglike"
"586","Rcpp",330951,"msumloglike"
"587","Rcpp",315863,"msumloglike"
"588","R",3025514,"msumloglike"
"589","R",3013100,"msumloglike"
"590","Rcpp",378720,"msumloglike"
"591","R",2997231,"msumloglike"
"592","R",3045461,"msumloglike"
"593","R",3121885,"msumloglike"
"594","Rcpp",403857,"msumloglike"
"595","Rcpp",336701,"msumloglike"
"596","Rcpp",340118,"msumloglike"
"597","R",3092229,"msumloglike"
"598","R",3261096,"msumloglike"
"599","R",3287566,"msumloglike"
"600","R",3353329,"msumloglike"
"601","Rcpp",362029,"msumloglike"
"602","R",3305859,"msumloglike"
"603","Rcpp",392957,"msumloglike"
"604","R",2651513,"msumloglike"
"605","R",2570891,"msumloglike"
"606","R",2544773,"msumloglike"
"607","Rcpp",369924,"msumloglike"
"608","Rcpp",328797,"msumloglike"
"609","R",2517041,"msumloglike"
"610","Rcpp",340128,"msumloglike"
"611","R",2449384,"msumloglike"
"612","R",2501782,"msumloglike"
"613","R",2506691,"msumloglike"
"614","R",2447851,"msumloglike"
"615","R",2457890,"msumloglike"
"616","Rcpp",347813,"msumloglike"
"617","Rcpp",323747,"msumloglike"
"618","Rcpp",324329,"msumloglike"
"619","R",2499758,"msumloglike"
"620","R",2464341,"msumloglike"
"621","R",7291484,"msumloglike"
"622","Rcpp",546696,"msumloglike"
"623","R",3158353,"msumloglike"
"624","R",3083082,"msumloglike"
"625","R",3109722,"msumloglike"
"626","R",3142153,"msumloglike"
"627","Rcpp",376035,"msumloglike"
"628","Rcpp",355126,"msumloglike"
"629","Rcpp",321093,"msumloglike"
"630","R",3047976,"msumloglike"
"631","R",3059407,"msumloglike"
"632","Rcpp",337122,"msumloglike"
"633","R",3044630,"msumloglike"
"634","R",3010506,"msumloglike"
"635","Rcpp",364223,"msumloglike"
"636","Rcpp",324479,"msumloglike"
"637","R",3085346,"msumloglike"
"638","Rcpp",382688,"msumloglike"
"639","R",3149166,"msumloglike"
"640","R",3127956,"msumloglike"
"641","Rcpp",342131,"msumloglike"
"642","Rcpp",327885,"msumloglike"
"643","Rcpp",322756,"msumloglike"
"644","Rcpp",327965,"msumloglike"
"645","Rcpp",327615,"msumloglike"
"646","R",3203939,"msumloglike"
"647","Rcpp",370295,"msumloglike"
"648","Rcpp",327705,"msumloglike"
"649","R",3200392,"msumloglike"
"650","Rcpp",389621,"msumloglike"
"651","Rcpp",370575,"msumloglike"
"652","Rcpp",325531,"msumloglike"
"653","Rcpp",324939,"msumloglike"
"654","R",3323142,"msumloglike"
"655","Rcpp",379853,"msumloglike"
"656","Rcpp",323537,"msumloglike"
"657","R",3169574,"msumloglike"
"658","Rcpp",390923,"msumloglike"
"659","Rcpp",339998,"msumloglike"
"660","Rcpp",344516,"msumloglike"
"661","R",3001689,"msumloglike"
"662","R",2988504,"msumloglike"
"663","Rcpp",371607,"msumloglike"
"664","R",2957016,"msumloglike"
"665","R",2913053,"msumloglike"
"666","Rcpp",372910,"msumloglike"
"667","R",2911200,"msumloglike"
"668","R",2920768,"msumloglike"
"669","Rcpp",370866,"msumloglike"
"670","R",2887165,"msumloglike"
"671","Rcpp",364043,"msumloglike"
"672","R",2877096,"msumloglike"
"673","R",2958208,"msumloglike"
"674","R",2875582,"msumloglike"
"675","R",2811503,"msumloglike"
"676","R",2819057,"msumloglike"
"677","Rcpp",337463,"msumloglike"
"678","R",8086074,"msumloglike"
"679","Rcpp",328286,"msumloglike"
"680","Rcpp",341841,"msumloglike"
"681","Rcpp",342513,"msumloglike"
"682","R",2929865,"msumloglike"
"683","R",3081419,"msumloglike"
"684","Rcpp",375574,"msumloglike"
"685","R",2987934,"msumloglike"
"686","Rcpp",341481,"msumloglike"
"687","Rcpp",314821,"msumloglike"
