"","expr","time","fun_name"
"1","R",2000651,"line_line_intersection-no_intersection"
"2","Rcpp",248446,"line_line_intersection-no_intersection"
"3","R",39223,"line_line_intersection-no_intersection"
"4","Rcpp",6722,"line_line_intersection-no_intersection"
"5","R",26200,"line_line_intersection-no_intersection"
"6","R",24175,"line_line_intersection-no_intersection"
"7","Rcpp",5942,"line_line_intersection-no_intersection"
"8","Rcpp",4689,"line_line_intersection-no_intersection"
"9","R",24335,"line_line_intersection-no_intersection"
"10","R",23604,"line_line_intersection-no_intersection"
"11","Rcpp",5781,"line_line_intersection-no_intersection"
"12","Rcpp",5130,"line_line_intersection-no_intersection"
"13","R",23875,"line_line_intersection-no_intersection"
"14","Rcpp",5019,"line_line_intersection-no_intersection"
"15","R",23894,"line_line_intersection-no_intersection"
"16","Rcpp",5249,"line_line_intersection-no_intersection"
"17","R",23384,"line_line_intersection-no_intersection"
"18","Rcpp",5009,"line_line_intersection-no_intersection"
"19","R",24276,"line_line_intersection-no_intersection"
"20","R",24085,"line_line_intersection-no_intersection"
"21","Rcpp",5481,"line_line_intersection-no_intersection"
"22","R",23344,"line_line_intersection-no_intersection"
"23","Rcpp",5781,"line_line_intersection-no_intersection"
"24","R",23484,"line_line_intersection-no_intersection"
"25","R",23284,"line_line_intersection-no_intersection"
"26","R",23023,"line_line_intersection-no_intersection"
"27","Rcpp",5371,"line_line_intersection-no_intersection"
"28","R",23033,"line_line_intersection-no_intersection"
"29","Rcpp",5561,"line_line_intersection-no_intersection"
"30","Rcpp",4949,"line_line_intersection-no_intersection"
"31","R",24426,"line_line_intersection-no_intersection"
"32","R",23124,"line_line_intersection-no_intersection"
"33","R",23314,"line_line_intersection-no_intersection"
"34","Rcpp",5681,"line_line_intersection-no_intersection"
"35","Rcpp",4899,"line_line_intersection-no_intersection"
"36","R",23524,"line_line_intersection-no_intersection"
"37","R",22743,"line_line_intersection-no_intersection"
"38","R",22883,"line_line_intersection-no_intersection"
"39","R",22773,"line_line_intersection-no_intersection"
"40","Rcpp",5461,"line_line_intersection-no_intersection"
"41","R",23484,"line_line_intersection-no_intersection"
"42","Rcpp",5340,"line_line_intersection-no_intersection"
"43","R",23695,"line_line_intersection-no_intersection"
"44","R",23304,"line_line_intersection-no_intersection"
"45","Rcpp",5480,"line_line_intersection-no_intersection"
"46","R",23815,"line_line_intersection-no_intersection"
"47","Rcpp",5661,"line_line_intersection-no_intersection"
"48","Rcpp",5000,"line_line_intersection-no_intersection"
"49","R",23865,"line_line_intersection-no_intersection"
"50","Rcpp",5690,"line_line_intersection-no_intersection"
"51","R",23023,"line_line_intersection-no_intersection"
"52","Rcpp",5090,"line_line_intersection-no_intersection"
"53","R",23143,"line_line_intersection-no_intersection"
"54","Rcpp",5501,"line_line_intersection-no_intersection"
"55","R",23444,"line_line_intersection-no_intersection"
"56","R",23655,"line_line_intersection-no_intersection"
"57","Rcpp",5450,"line_line_intersection-no_intersection"
"58","R",23184,"line_line_intersection-no_intersection"
"59","Rcpp",11832,"line_line_intersection-no_intersection"
"60","R",24035,"line_line_intersection-no_intersection"
"61","R",23774,"line_line_intersection-no_intersection"
"62","R",24026,"line_line_intersection-no_intersection"
"63","R",22923,"line_line_intersection-no_intersection"
"64","R",23384,"line_line_intersection-no_intersection"
"65","R",22873,"line_line_intersection-no_intersection"
"66","Rcpp",5751,"line_line_intersection-no_intersection"
"67","R",23785,"line_line_intersection-no_intersection"
"68","R",22863,"line_line_intersection-no_intersection"
"69","R",22823,"line_line_intersection-no_intersection"
"70","R",23394,"line_line_intersection-no_intersection"
"71","Rcpp",5531,"line_line_intersection-no_intersection"
"72","Rcpp",4829,"line_line_intersection-no_intersection"
"73","R",23715,"line_line_intersection-no_intersection"
"74","Rcpp",5270,"line_line_intersection-no_intersection"
"75","R",23184,"line_line_intersection-no_intersection"
"76","R",22963,"line_line_intersection-no_intersection"
"77","R",23164,"line_line_intersection-no_intersection"
"78","R",23263,"line_line_intersection-no_intersection"
"79","R",22822,"line_line_intersection-no_intersection"
"80","Rcpp",5971,"line_line_intersection-no_intersection"
"81","Rcpp",5050,"line_line_intersection-no_intersection"
"82","R",23774,"line_line_intersection-no_intersection"
"83","Rcpp",5089,"line_line_intersection-no_intersection"
"84","Rcpp",4950,"line_line_intersection-no_intersection"
"85","R",24556,"line_line_intersection-no_intersection"
"86","R",22813,"line_line_intersection-no_intersection"
"87","Rcpp",6833,"line_line_intersection-no_intersection"
"88","Rcpp",4889,"line_line_intersection-no_intersection"
"89","Rcpp",4729,"line_line_intersection-no_intersection"
"90","R",23644,"line_line_intersection-no_intersection"
"91","Rcpp",5581,"line_line_intersection-no_intersection"
"92","Rcpp",4659,"line_line_intersection-no_intersection"
"93","Rcpp",4669,"line_line_intersection-no_intersection"
"94","Rcpp",5019,"line_line_intersection-no_intersection"
"95","R",23995,"line_line_intersection-no_intersection"
"96","R",22853,"line_line_intersection-no_intersection"
"97","Rcpp",5250,"line_line_intersection-no_intersection"
"98","R",23173,"line_line_intersection-no_intersection"
"99","Rcpp",5220,"line_line_intersection-no_intersection"
"100","Rcpp",4769,"line_line_intersection-no_intersection"
"101","R",23754,"line_line_intersection-no_intersection"
"102","Rcpp",5401,"line_line_intersection-no_intersection"
"103","R",23163,"line_line_intersection-no_intersection"
"104","R",23314,"line_line_intersection-no_intersection"
"105","Rcpp",5481,"line_line_intersection-no_intersection"
"106","Rcpp",4869,"line_line_intersection-no_intersection"
"107","Rcpp",4499,"line_line_intersection-no_intersection"
"108","Rcpp",4739,"line_line_intersection-no_intersection"
"109","R",24085,"line_line_intersection-no_intersection"
"110","R",23755,"line_line_intersection-no_intersection"
