"","expr","time","fun_name"
"1","R",584356,"baUtility"
"2","Rcpp",60824,"baUtility"
"3","R",46808,"baUtility"
"4","Rcpp",10109,"baUtility"
"5","Rcpp",8606,"baUtility"
"6","Rcpp",8216,"baUtility"
"7","R",40656,"baUtility"
"8","Rcpp",9759,"baUtility"
"9","Rcpp",8366,"baUtility"
"10","R",39544,"baUtility"
"11","R",38172,"baUtility"
"12","Rcpp",9227,"baUtility"
"13","R",37801,"baUtility"
"14","Rcpp",8666,"baUtility"
"15","Rcpp",8176,"baUtility"
"16","Rcpp",8566,"baUtility"
"17","Rcpp",7955,"baUtility"
"18","R",38112,"baUtility"
"19","R",37250,"baUtility"
"20","Rcpp",9158,"baUtility"
"21","Rcpp",8005,"baUtility"
"22","Rcpp",8205,"baUtility"
"23","R",37460,"baUtility"
"24","Rcpp",9047,"baUtility"
"25","R",44734,"baUtility"
"26","Rcpp",8687,"baUtility"
"27","Rcpp",8406,"baUtility"
"28","R",38142,"baUtility"
"29","Rcpp",8636,"baUtility"
"30","R",38212,"baUtility"
"31","Rcpp",8817,"baUtility"
"32","Rcpp",8255,"baUtility"
"33","R",37560,"baUtility"
"34","R",36779,"baUtility"
"35","R",36709,"baUtility"
"36","Rcpp",9237,"baUtility"
"37","R",37601,"baUtility"
"38","Rcpp",9007,"baUtility"
"39","Rcpp",8346,"baUtility"
"40","Rcpp",8095,"baUtility"
"41","R",38192,"baUtility"
"42","Rcpp",9017,"baUtility"
"43","R",37140,"baUtility"
"44","Rcpp",8546,"baUtility"
"45","Rcpp",8335,"baUtility"
"46","R",37341,"baUtility"
"47","R",36719,"baUtility"
"48","Rcpp",9428,"baUtility"
"49","R",37290,"baUtility"
"50","Rcpp",9117,"baUtility"
"51","Rcpp",8166,"baUtility"
"52","R",37971,"baUtility"
"53","Rcpp",8627,"baUtility"
"54","Rcpp",8135,"baUtility"
"55","Rcpp",8035,"baUtility"
"56","R",37620,"baUtility"
"57","R",37150,"baUtility"
"58","R",37230,"baUtility"
"59","Rcpp",8967,"baUtility"
"60","R",37912,"baUtility"
"61","Rcpp",8746,"baUtility"
"62","Rcpp",8366,"baUtility"
"63","Rcpp",7865,"baUtility"
"64","Rcpp",8396,"baUtility"
"65","R",38072,"baUtility"
"66","Rcpp",8596,"baUtility"
"67","R",37330,"baUtility"
"68","R",36588,"baUtility"
"69","R",37431,"baUtility"
"70","R",42239,"baUtility"
"71","Rcpp",9568,"baUtility"
"72","R",37831,"baUtility"
"73","R",37250,"baUtility"
"74","Rcpp",9167,"baUtility"
"75","Rcpp",8196,"baUtility"
"76","Rcpp",8396,"baUtility"
"77","R",37981,"baUtility"
"78","R",36769,"baUtility"
"79","Rcpp",9217,"baUtility"
"80","R",37420,"baUtility"
"81","R",36608,"baUtility"
"82","R",36919,"baUtility"
"83","R",36579,"baUtility"
"84","R",36378,"baUtility"
"85","Rcpp",9588,"baUtility"
"86","R",37059,"baUtility"
"87","Rcpp",8947,"baUtility"
"88","Rcpp",8717,"baUtility"
"89","R",37681,"baUtility"
"90","R",36919,"baUtility"
"91","R",36800,"baUtility"
"92","R",37019,"baUtility"
"93","Rcpp",9228,"baUtility"
"94","Rcpp",8255,"baUtility"
"95","Rcpp",8315,"baUtility"
"96","R",37781,"baUtility"
"97","R",38111,"baUtility"
"98","Rcpp",9188,"baUtility"
"99","R",37410,"baUtility"
"100","R",37120,"baUtility"
"101","Rcpp",9167,"baUtility"
"102","R",37380,"baUtility"
"103","R",37090,"baUtility"
"104","R",36839,"baUtility"
"105","Rcpp",9889,"baUtility"
"106","Rcpp",8486,"baUtility"
"107","Rcpp",8045,"baUtility"
"108","R",42771,"baUtility"
"109","R",37520,"baUtility"
"110","R",36709,"baUtility"
"111","Rcpp",9588,"baUtility"
"112","Rcpp",8626,"baUtility"
"113","R",37901,"baUtility"
"114","Rcpp",8706,"baUtility"
"115","Rcpp",8486,"baUtility"
"116","Rcpp",8516,"baUtility"
"117","Rcpp",8075,"baUtility"
"118","R",38632,"baUtility"
"119","R",36979,"baUtility"
"120","Rcpp",9258,"baUtility"
"121","Rcpp",8436,"baUtility"
"122","R",37801,"baUtility"
"123","Rcpp",8817,"baUtility"
"124","Rcpp",8706,"baUtility"
"125","Rcpp",8486,"baUtility"
"126","R",37610,"baUtility"
"127","Rcpp",9128,"baUtility"
"128","Rcpp",8375,"baUtility"
"129","Rcpp",8385,"baUtility"
"130","R",37350,"baUtility"
"131","R",36939,"baUtility"
"132","R",36820,"baUtility"
"133","Rcpp",9247,"baUtility"
"134","R",37220,"baUtility"
"135","Rcpp",9098,"baUtility"
"136","R",37300,"baUtility"
"137","Rcpp",9438,"baUtility"
"138","Rcpp",8977,"baUtility"
"139","Rcpp",8636,"baUtility"
"140","R",37471,"baUtility"
"141","R",36979,"baUtility"
"142","Rcpp",9387,"baUtility"
"143","Rcpp",9087,"baUtility"
"144","R",38011,"baUtility"
"145","R",36869,"baUtility"
"146","Rcpp",9698,"baUtility"
"147","R",37070,"baUtility"
"148","R",36989,"baUtility"
"149","R",36549,"baUtility"
"150","R",36819,"baUtility"
"151","Rcpp",9628,"baUtility"
"152","R",43291,"baUtility"
"153","Rcpp",9288,"baUtility"
"154","R",39033,"baUtility"
"155","R",36639,"baUtility"
"156","R",36609,"baUtility"
"157","R",36329,"baUtility"
"158","Rcpp",10049,"baUtility"
"159","R",37470,"baUtility"
"160","R",36319,"baUtility"
"161","Rcpp",8967,"baUtility"
"162","R",37009,"baUtility"
"163","Rcpp",8836,"baUtility"
"164","R",36769,"baUtility"
"165","R",36849,"baUtility"
"166","Rcpp",8817,"baUtility"
"167","R",36859,"baUtility"
"168","R",36769,"baUtility"
"169","Rcpp",8867,"baUtility"
"170","Rcpp",8516,"baUtility"
"171","Rcpp",8516,"baUtility"
"172","Rcpp",8606,"baUtility"
"173","Rcpp",8516,"baUtility"
"174","R",37471,"baUtility"
"175","R",36859,"baUtility"
"176","Rcpp",9318,"baUtility"
"177","Rcpp",8486,"baUtility"
"178","Rcpp",8125,"baUtility"
"179","R",37831,"baUtility"
"180","R",37220,"baUtility"
"181","R",36619,"baUtility"
"182","Rcpp",9137,"baUtility"
"183","R",37050,"baUtility"
"184","Rcpp",8706,"baUtility"
"185","Rcpp",8817,"baUtility"
"186","R",37701,"baUtility"
"187","R",36469,"baUtility"
"188","Rcpp",9157,"baUtility"
"189","Rcpp",8907,"baUtility"
"190","R",36759,"baUtility"
"191","Rcpp",9157,"baUtility"
"192","R",37360,"baUtility"
"193","R",36038,"baUtility"
"194","R",42329,"baUtility"
"195","R",36559,"baUtility"
"196","R",36098,"baUtility"
"197","R",36669,"baUtility"
"198","R",36799,"baUtility"
"199","R",36608,"baUtility"
"200","R",36780,"baUtility"
"201","R",36468,"baUtility"
"202","R",36248,"baUtility"
"203","Rcpp",10179,"baUtility"
"204","Rcpp",8366,"baUtility"
"205","Rcpp",8416,"baUtility"
"206","R",38061,"baUtility"
"207","R",36729,"baUtility"
"208","Rcpp",9067,"baUtility"
"209","Rcpp",8907,"baUtility"
"210","R",37170,"baUtility"
"211","R",36549,"baUtility"
"212","Rcpp",9017,"baUtility"
"213","R",37240,"baUtility"
"214","Rcpp",8586,"baUtility"
"215","R",37360,"baUtility"
"216","Rcpp",8826,"baUtility"
"217","R",37451,"baUtility"
"218","R",36859,"baUtility"
"219","R",36699,"baUtility"
"220","R",36549,"baUtility"
"221","Rcpp",9288,"baUtility"
"222","Rcpp",8386,"baUtility"
"223","Rcpp",8486,"baUtility"
"224","Rcpp",8165,"baUtility"
"225","R",37531,"baUtility"
"226","Rcpp",8636,"baUtility"
"227","Rcpp",8366,"baUtility"
"228","R",38282,"baUtility"
"229","Rcpp",8937,"baUtility"
"230","Rcpp",8366,"baUtility"
"231","R",37090,"baUtility"
"232","Rcpp",9097,"baUtility"
"233","Rcpp",8406,"baUtility"
"234","Rcpp",8386,"baUtility"
"235","Rcpp",9258,"baUtility"
"236","R",44063,"baUtility"
"237","R",36769,"baUtility"
"238","Rcpp",9318,"baUtility"
"239","Rcpp",8376,"baUtility"
"240","R",37811,"baUtility"
"241","Rcpp",8596,"baUtility"
"242","R",37360,"baUtility"
"243","Rcpp",8396,"baUtility"
"244","R",37010,"baUtility"
"245","R",36879,"baUtility"
"246","Rcpp",8826,"baUtility"
"247","R",36880,"baUtility"
"248","R",37069,"baUtility"
"249","Rcpp",8716,"baUtility"
"250","Rcpp",8687,"baUtility"
"251","R",37220,"baUtility"
"252","R",37200,"baUtility"
"253","R",37170,"baUtility"
"254","R",36539,"baUtility"
"255","Rcpp",9347,"baUtility"
"256","Rcpp",8577,"baUtility"
"257","R",37671,"baUtility"
"258","R",36809,"baUtility"
"259","Rcpp",9227,"baUtility"
"260","Rcpp",8455,"baUtility"
"261","R",37230,"baUtility"
"262","R",36869,"baUtility"
"263","Rcpp",9178,"baUtility"
"264","R",37841,"baUtility"
"265","Rcpp",8576,"baUtility"
"266","Rcpp",8947,"baUtility"
"267","R",37240,"baUtility"
"268","Rcpp",9358,"baUtility"
"269","R",37380,"baUtility"
"270","R",36588,"baUtility"
"271","Rcpp",9739,"baUtility"
"272","Rcpp",8786,"baUtility"
"273","Rcpp",8546,"baUtility"
"274","Rcpp",8847,"baUtility"
"275","R",38241,"baUtility"
"276","R",36518,"baUtility"
"277","R",41959,"baUtility"
"278","Rcpp",10250,"baUtility"
"279","R",37390,"baUtility"
"280","Rcpp",9007,"baUtility"
"281","Rcpp",8476,"baUtility"
"282","R",37160,"baUtility"
"283","Rcpp",8667,"baUtility"
"284","R",37721,"baUtility"
"285","R",36458,"baUtility"
"286","Rcpp",9167,"baUtility"
"287","R",36969,"baUtility"
"288","Rcpp",8846,"baUtility"
