"","expr","time","fun_name"
"1","R",1540138,"destinationAngle"
"2","Rcpp",78357,"destinationAngle"
"3","Rcpp",18976,"destinationAngle"
"4","Rcpp",18424,"destinationAngle"
"5","Rcpp",17883,"destinationAngle"
"6","Rcpp",17373,"destinationAngle"
"7","R",552877,"destinationAngle"
"8","R",532529,"destinationAngle"
"9","Rcpp",23234,"destinationAngle"
"10","R",526167,"destinationAngle"
"11","Rcpp",22192,"destinationAngle"
"12","R",528030,"destinationAngle"
"13","Rcpp",22081,"destinationAngle"
"14","Rcpp",18125,"destinationAngle"
"15","R",525295,"destinationAngle"
"16","R",527068,"destinationAngle"
"17","R",516819,"destinationAngle"
"18","R",528361,"destinationAngle"
"19","Rcpp",23664,"destinationAngle"
"20","R",522871,"destinationAngle"
"21","R",527710,"destinationAngle"
"22","R",524494,"destinationAngle"
"23","Rcpp",23384,"destinationAngle"
"24","Rcpp",18545,"destinationAngle"
"25","R",544792,"destinationAngle"
"26","R",526286,"destinationAngle"
"27","Rcpp",23805,"destinationAngle"
"28","Rcpp",18655,"destinationAngle"
"29","Rcpp",18916,"destinationAngle"
"30","R",529002,"destinationAngle"
"31","Rcpp",22432,"destinationAngle"
"32","R",529472,"destinationAngle"
"33","Rcpp",22212,"destinationAngle"
"34","R",530194,"destinationAngle"
"35","R",531787,"destinationAngle"
"36","Rcpp",22913,"destinationAngle"
"37","Rcpp",19096,"destinationAngle"
"38","Rcpp",18365,"destinationAngle"
"39","Rcpp",18484,"destinationAngle"
"40","Rcpp",18124,"destinationAngle"
"41","R",530134,"destinationAngle"
"42","R",531327,"destinationAngle"
"43","Rcpp",22773,"destinationAngle"
"44","Rcpp",18485,"destinationAngle"
"45","R",526628,"destinationAngle"
"46","R",529062,"destinationAngle"
"47","Rcpp",22742,"destinationAngle"
"48","Rcpp",18494,"destinationAngle"
"49","Rcpp",18524,"destinationAngle"
"50","Rcpp",19277,"destinationAngle"
"51","R",535003,"destinationAngle"
"52","Rcpp",21941,"destinationAngle"
"53","R",528431,"destinationAngle"
"54","Rcpp",22833,"destinationAngle"
"55","Rcpp",18375,"destinationAngle"
"56","R",534903,"destinationAngle"
"57","R",526146,"destinationAngle"
"58","R",528080,"destinationAngle"
"59","R",527169,"destinationAngle"
"60","Rcpp",24086,"destinationAngle"
"61","R",532328,"destinationAngle"
"62","Rcpp",22302,"destinationAngle"
"63","Rcpp",18746,"destinationAngle"
"64","Rcpp",18434,"destinationAngle"
"65","R",532167,"destinationAngle"
"66","Rcpp",27862,"destinationAngle"
"67","R",529023,"destinationAngle"
"68","R",531256,"destinationAngle"
"69","Rcpp",22772,"destinationAngle"
"70","R",527869,"destinationAngle"
"71","R",528281,"destinationAngle"
"72","Rcpp",22923,"destinationAngle"
"73","R",522891,"destinationAngle"
"74","R",536346,"destinationAngle"
"75","R",524964,"destinationAngle"
"76","R",528651,"destinationAngle"
"77","R",514725,"destinationAngle"
"78","Rcpp",23244,"destinationAngle"
"79","R",526868,"destinationAngle"
"80","Rcpp",22072,"destinationAngle"
"81","R",520135,"destinationAngle"
"82","R",522720,"destinationAngle"
"83","R",515547,"destinationAngle"
"84","R",522229,"destinationAngle"
"85","R",517541,"destinationAngle"
"86","R",528852,"destinationAngle"
"87","Rcpp",24116,"destinationAngle"
"88","R",523532,"destinationAngle"
"89","Rcpp",22112,"destinationAngle"
"90","Rcpp",18595,"destinationAngle"
"91","R",517550,"destinationAngle"
"92","R",526256,"destinationAngle"
"93","Rcpp",22382,"destinationAngle"
"94","Rcpp",18174,"destinationAngle"
"95","Rcpp",18836,"destinationAngle"
"96","Rcpp",18104,"destinationAngle"
"97","Rcpp",17844,"destinationAngle"
"98","R",522810,"destinationAngle"
"99","Rcpp",21730,"destinationAngle"
"100","R",525365,"destinationAngle"
"101","Rcpp",22212,"destinationAngle"
"102","Rcpp",18234,"destinationAngle"
"103","R",519895,"destinationAngle"
"104","Rcpp",22011,"destinationAngle"
"105","R",525005,"destinationAngle"
"106","Rcpp",21992,"destinationAngle"
"107","Rcpp",18384,"destinationAngle"
"108","Rcpp",18495,"destinationAngle"
"109","Rcpp",18475,"destinationAngle"
"110","R",532409,"destinationAngle"
"111","Rcpp",22061,"destinationAngle"
"112","R",530815,"destinationAngle"
"113","Rcpp",21611,"destinationAngle"
"114","R",524924,"destinationAngle"
"115","R",519594,"destinationAngle"
"116","R",524864,"destinationAngle"
"117","Rcpp",23414,"destinationAngle"
"118","R",522921,"destinationAngle"
"119","R",532699,"destinationAngle"
"120","R",522750,"destinationAngle"
"121","Rcpp",22873,"destinationAngle"
"122","Rcpp",18414,"destinationAngle"
"123","Rcpp",18886,"destinationAngle"
"124","Rcpp",20068,"destinationAngle"
"125","Rcpp",18665,"destinationAngle"
"126","R",536025,"destinationAngle"
"127","R",525365,"destinationAngle"
"128","R",531998,"destinationAngle"
"129","R",540032,"destinationAngle"
"130","R",521838,"destinationAngle"
